time_bin,mean_throughput,mean_data_rate,most_common_rssi,retry_percentage,mean_rate_gap,useful_airtime,revised_throughput
0,173.17020005717848,173.333,-53,0.235105797608924,0.0,1.3984258277419763,121.19667199999999
2,172.73627117027578,173.333,-53,0.42303794121535276,0.0,1.5868791747676436,137.52926399999998
4,168.6674017015448,169.23994455852156,-54,0.3593429158110883,0.188911704312115,0.14037039084625458,11.878138582239064
6,172.7573222021897,173.333,-52,0.2056555269922879,0.0,0.13601066155896452,11.787567999999998
8,172.75437591049342,173.333,-52,0.427578834847675,0.0,0.1308595131913715,11.341135999999999
10,172.74890856557343,173.333,-49,0.4087889626980072,0.0,0.13675853992026907,11.852383999999999
12,172.75652898018635,173.333,-49,0.15408320493066258,0.0,0.13597761534156796,11.784704
14,171.3609252822979,171.92134329896908,-49,0.15463917525773196,0.0,0.13668214706330056,11.749289164054938
16,172.76846197542525,173.333,-48,0.4134366925064599,0.0,0.13528438323919853,11.724623999999999
18,172.76602294846444,173.333,-50,0.3613835828600929,0.0,0.13538587574206873,11.733419999999999
20,172.7686031841968,173.333,-51,0.25429116338207247,0.0,0.11003522699082113,9.536368
22,172.7742745254686,173.333,-50,0.20512820512820512,0.0,0.13614801566926088,11.799471999999998
24,172.77186827038517,173.333,-50,0.40840140023337224,0.0,0.11977979957653764,10.380896
26,172.76959613687617,173.333,-50,0.5151983513652756,0.0,0.1355725684087854,11.7496
28,172.76143290049106,173.333,-51,0.2704530087897228,0.0,0.10331152175292645,8.953648
